sentence,label
"Andera Infra's activities are focused on energy transition infrastructures with value-added potential (renewable energy production and storage, mobility solutions and green data centre sectors).",sustainable
"There has been a particular focus on the choice of raw materials from renewable sources, also from recycling, starch from tubers and waste paper pulp for the synthesis of nanomaterials/structures, with competitive production and process costs, and environmental compatibility.",sustainable
"We will also continue to invest in innovative, market-leading climate finance and investment solutions in response to client demand and the imperative to transition to a low-carbon economy.",sustainable
"Offsets are also applied to Scope 3 Business Travel emissions, resulting in net Business Travel emissions of zero.",unsustainable
"In addition to limiting energy consumption, the Fairway also scores highly on other ESG metrics, including waste management, well being and green transportation.",sustainable
"We help our employees and clients reduce paper consumption through statement suppression, electronic payments, and envelope-free deposit image ATMs.",sustainable
The policy commits us to reducing our vehicle fleet CO2 emissions every year until 2020.,sustainable
"While certain vested interests may resist change, we note that the food industry and society at large can, and are likely to, play a role in enabling the transition of the current food system.",unsustainable
"With carbon impact, we refer to GHG emissions from our investments measured by metric tons CO2 equivalents.",unsustainable
Our over-arching net zero goal comprises two targets: – Reducing carbon emissions linked to our office estate and travel by 4.2% year-on-year (from a 2019 baseline).,sustainable
"The international leader in eco-responsible transport, Getlink (ex- Eurotunnel), is another example in which we have chosen to invest for its sustainable business model.",sustainable
The Coal Policy is accessible on the sustainable finance page of our website.,unsustainable
"BNPP is a member of the Hydrogen Council, a group of 80 international companies aiming at developing the hydrogen applications.",sustainable
"Every year, Amundi strives to integrate more recyclable materials into its sorting line.",sustainable
"For example, Dropbox made a commitment to carbon neutrality by 2030.",sustainable
"To put it another way, meeting the 2030 targets associated with the SDGs appears highly unlikely in our view unless action is taken to make the global food system more sustainable.",unsustainable
We will accelerate our development of innovative solutions for financing climate-positive development and the energy transition.,sustainable
"In addition, Acea has collaborated with ENEA in the context of a dedicated protocol, for the development of projects relating to the sustainable management of the waste and water cycle, with the objective of applying innovative technologies and solutions to the managed industrial projects, principally in the water and waste treatment sectors, in line with the strategic objectives for industrial development in the circular economy.",sustainable
That’s why we have set aggressive goals and targets to reduce the environmental footprint of our business.,sustainable
"The liquid is supplied with growth drivers consisting of hydrogen, oxygen and carbon dioxide.",unsustainable
BASF has published a comprehensive corporate carbon footprint since 2008.,unsustainable
"Our employees also play a critical role, volunteering for regional activities and participating in our annual “Warm Their Hearts” Valentine’s Day drives.",sustainable
"NAM is part of the CA100+ engagement with Xcel, which started in 2018, to transition to clean energy and reduce its climate risk.",sustainable
Amundi annually calculates CO2 emissions in two major categories: energy and business travel.,unsustainable
This indicator is used to quantify the carbon emissions resulting from the investment in the portfolio.,unsustainable
By including commuter travel – representing around 30% of our total GHG emissions – in our new target scope we are also clearly committed to greening our employee mobility policy (with the focus on bicycles and public transportation as well as an offering of more electric cars).,sustainable
Sperre is a world-leading provider of compressed air system solutions for a broad range of mission-critical applications across the marine transportation industry.,unsustainable
Any regulatory framework on access to data must ensure that the safety and security of highly connected and automated vehicles and their users is never undermined.,unsustainable
"In the context of Networks, for the transformation of electricity and transport for delivery to end users, the main risks are attributable to: existence of overhead and underground systems with impacts in terms of land use and subsoil; generation of waste and impacts on ecosystems; generation of electromagnetic fields with impacts in terms of exposure; maintenance of transformation plants with potential soil and subsoil contamination with hazardous materials; maintenance and construction of plants with impacts in terms of production of special waste.",unsustainable
"Furthermore, sustainability criteria on materials, such as recycling, reuse and the reparability index, were also added to the Technical Specifications for Group Company procurement.",sustainable
The recoverable amount is the higher of either fair value less costs to sell or the value in use.,unsustainable
"“Partnerships” aims to achieve net zero emissions in our supply chain, which accounts for the majority of our carbon emissions.",sustainable
We also avoid industries that have questionable ethical foundations or that are likely to struggle to shift to sustainable business models.,sustainable
"Scope 1 and 2 emissions (for example, direct emissions from buildings and indirect emissions of purchased energy) are included, but other emissions in the value chain, such as those related to original construction, are not.",unsustainable
We launched our first ESG mandate in 1985 and were an early leader in low-carbon investing.,sustainable
"The multi-mobility model that KBC Belgium offers companies enables them to provide their employees with various forms of mobility, including bicycles.",sustainable
"Dali Foods, a leading food and beverages company in China, also began producing packaged soymilk in 2016 and has subsequently launched numerous product variants under the brand “Doubendou,” including an organic line, a breakfast line, etc.",unsustainable
"Extreme temperature changes may affect an organization’s physical locations, operations, supply chain, transport needs and employee safety.",unsustainable
"We continue to advance the awareness internally of our current paper consumption in customer communication, while accelerating initiatives that will drive digitization to reduce paper consumption and improve the customer experience.",sustainable
"We have developed green products and solutions in our core countries: (1) a multi-mobility model offered to companies in Belgium, enabling them to offer their employees different forms of mobility (including bicycles); (2) ČSOB’s green grants programme in the Czech Republic, which helps entrepreneurs prepare energy audits and technical documentation.",sustainable
The need to reduce GHG emissions in order to meet long-term climate-change targets thus suggests that a reduction in meat consumption should be a key priority.,unsustainable
We provide company matching donations to approved charities for employee donations and volunteering.,sustainable
These offer an integrated solution for charging electric vehicles and for 5G applications with additional services.,sustainable
"Since 1961, the total use of nitrogen fertilizers globally has grown nine-fold, with most of this growth taking place in Asia.",unsustainable
"Not included in the carbon emissions calculation for 2020 are the offices of Boston Partners and Canara Robeco, and the Robeco office in Luxembourg.",unsustainable
"In terms of opportunities, ABN AMRO leverages expertise in the area of issuing green or social impact bonds, helps clients make real estate more sustainable, and provides new financing models to support the transition to a circular economy.",sustainable
"As well as managing ESG risks related to megatrends like climate change, food security and biodiversity loss, we also actively look for investment opportunities that offer solutions to such challenges.",sustainable
"Scope 2 : all indirect emissions generated by the purchase or production of electricity, steam or heat.",unsustainable
"As global demand for resources grows, there is a need to increase productivity while ensuring the conservation of the world’s remaining natural forests.",unsustainable
"UBS supports the orderly transition to a low-carbon economy as corporate advisor, and/or with its lending capacity.",sustainable
"SCOR has signed the Finance for Biodiversity Pledge, with the aim of onboarding biodiversity in its investment decisions and widening its sustainable investing approach over the coming years.",sustainable
These figures do not include emissions from vehicles.,unsustainable
"Our portfolio is primarily focused on renewable energy / energy efficiency projects reflecting the main origin of the emissions in our buildings, but also includes a number of nature-based offsets including reforestation, afforestation and conservation.",sustainable
Scope 1 and 2 emissions amount to 2 284 777 tonnes of CO2.,unsustainable
The fact that the current food system forms a crucial element of the climate change agenda is not only driven by the emissions generated by food production and consumption or the water usage associated with it.,unsustainable
"The combination of continued population growth, rising spending power and declining arable land per capita suggests that a shift in diet alone may not be enough to make the food system more sustainable.",unsustainable
Waste composted in 2016 now includes data for Germany that previously was not possible to separate from recycled waste data.,unsustainable
These include installing photovoltaic panels on buildings we own and operate group-wide – reaching an installed capacity of 1.5 MWp in 2020 and resulting in avoided emissions of 245 tonnes of CO2 in 2020 and launching a new green mobility policy for our employees in Belgium.,sustainable
"The latest developments concern an expansion of the types of material managed in the circular economy circuit (paper, iron, timber, plastics and metals) and the development of technologies and equipment for the treatment of waste according to the proximity principle.",sustainable
Amazon announced a very ambitious net zero carbon emissions target for 2040 (10 years ahead of the Paris Agreement guidance).,sustainable
This fund was awarded the “Relance” label launched in October 2020 by the French Treasury: this label aims to direct French savings towards investment vehicles that support the economic recovery plan unveiled by the Government.,sustainable
Response times to potential incidents are monitored according to specific timeframe requirements depending on the severity of the threat and its criticality.,unsustainable
"The total losses of electricity include: transformation losses, transport losses and commercial losses, these last due to fraud and incorrect readings.",unsustainable
"In particular, consumers indicated that buying more food than was necessary would often lead to food waste.",unsustainable
"In addition, we intend to reduce paper-based client communication through an increased use of electronic communication channels.",sustainable
"With regard to project finance (lending activities), KBC follows the requirements set by the Equator Principles.",sustainable
The Employee Satisfaction Survey is conducted on condition of anonymity in order to collect frank and honest opinions.,unsustainable
We reduced greenhouse gas emissions per metric ton of sales product by 34.2% compared with baseline 2002 (2017: reduction of 35.5%).,sustainable
Calculating the carbon footprint of a company is a complex process.,unsustainable
"In car insurance, Natixis Assurances grants discounts to drivers who drive less than 8,000 km per year and to owners of electric vehicles.",sustainable
The lack of typical cooling facilities means that food- loss ratios are high across emerging markets.,unsustainable
"At 44% in 2019, fruits and vegetables make up the biggest category of food loss and waste followed by roots and tubers at 20%.",unsustainable
Emissions from electric bicycles and speed pedelecs are taken into account.,unsustainable
"Unexpected events, such as terrorist incidents in 2016, could trigger the review of a country rating.",unsustainable
"SGS customers can trust us to deliver benefits such as speed to market, reduced risk, increased efficiency, sustainability and productivity.",sustainable
BGO has a daily commitment to operational efficiency to reduce consumption.,sustainable
"It covers up to 10 000 euros for additional investments in ecological renovation including solar panels, rainwater recycling systems and other environmentally friendly equipment.",sustainable
"Its categories evaluate energy and water use, health and well- being, pollution, transport, materials, waste, ecology and management processes.",unsustainable
It was published in open source in 2018 and updated in 2019 to integrate environmental standards and the specificities of intervention on electric vehicles.,unsustainable
"Between 2014 and 2019, BlackRock reduced Scope 1 and 2 (location-based) emissions by 22% as compared to a 32% reduction between 2014 and 2020.",sustainable
"Through our green building initiatives, we manage energy reduction, water conservation, recycling, enhanced indoor air quality, alternative transportation parking, environmentally friendly cleaning materials and erosion control.",sustainable
"Since 2012, Morgan Stanley has reduced its overall operational footprint by more than 35%.",sustainable
"By 2030, JRE aims to reduce the average carbon intensity of its entire portfolio to 60 kg-CO2/m2 as well as own 5–10 zero energy buildings (ZEBs).",sustainable
We will reduce the operational carbon and energy intensity of our landlord-controlled areas (Scope 1 and 2 emissions) by 60%.,sustainable
food system in a no-change scenario is not restricted to GHG emissions alone.,unsustainable
"During the final step, the environmental pressures are translated into biodiversity impact using the respective pressure- impact relationships for each pressure.",unsustainable
"According to the chart, consumers should further reduce their intake of processed meat, eggs, red meat and milk in favor of nuts and seeds, whole grain products, legumes and poultry.",unsustainable
Microplastics are often used in cosmetics and functional fillers.,unsustainable
"We have been sharing with colleagues how they can reduce their impact from travel, for example, making more use of the technology we provide (such as video conferencing, which we invested over £1.5m in improving in 2019), increasing their use of rail for domestic travel, and, if they are flying, to pick a non-stop route.",sustainable
"As we promote the use of technology and mobile devices for information flow, we are exploring and planning to implement measures to reduce paper consumption.",sustainable
A circular economy — keeping materials in use — can reduce emissions and plastic pollution.,unsustainable
"The group operates a dedicated intranet page and email inbox, where employees can provide feedback, suggestions, concerns and general information including reporting environmental incidents and accidents.",sustainable
"The environmental benefits of Bluesign® include reduced water consumption, minimized water pollution and less energy usage.",sustainable
"CNP Assurances committed in February 2021 to the following numerical targets, which extend the significant efforts already made over the past five years: to reduce the carbon footprint (scopes 1 and 2) of its portfolio of directly held equities and corporate bonds by a further 25% between 2019 and 2024, i.e., a target of 60 kg eq CO2 /€k invested by the end of 2024 compared with 80 kg eq CO2 /€k invested at the end of 2019.",sustainable
"In 2020, biodiversity was addressed in 64% of direct dialogues with businesses; in May 2020, CNP Assurances joined the coalition of institutional investors calling for the creation of biodiversity impact measures respecting the transparency principles of the methodology; at the end of 2020, CNP Assurances carried out an initial test to measure the biodiversity footprint of its equity and bond portfolio using the Corporate Biodiversity Footprint.",sustainable
We have been purchasing an increasing amount of recycled yarn and tape for production.,sustainable
We engaged oil majors in Europe and the US on their path to energy transition.,sustainable
"As a responsible corporation, focused on the long term, continuing to reduce our carbon footprint by reducing energy use, greenhouse gases, and water usage and discharge, as well as improving waste recycling.",sustainable
"In 2020, we announced the goal to provide at least CHF 300 billion of sustainable financing to support transition strategies (renewables, Green/Blue/Transition bonds, low-carbon energy solutions and UN SDG-aligned) over the next ten years.",sustainable
"This figure encompasses emissions from armored cars, check couriers, freight shipments, mail and express shipments, and vehicles owned by our facility management partners that are dedicated to serving our facilities.",unsustainable
"Companies around the world are trying to reduce their carbon footprints, but they must do more — and quickly — to keep climate change from undoing the progress of the past several decades.",unsustainable
We will strive to reduce environmental risks and enhance environmental value for the society as a whole by providing financial products and services that contribute to the preservation of the global environment and the realization of a sustainable society.,sustainable
Our energy usage in our buildings and data centers is responsible for most of our carbon emissions.,unsustainable
"In order to reduce risks, communication with stakeholders are required.",unsustainable
The share of renewable electricity generation in K&H Bank’ total electricity portfolio has increased from 42% at the end of 2019 to 52% at the end of 2020.,sustainable
"A disclosure has been provided on pages 70, 75 and 90 of the SGS 2019 Sustainability Report as a caveat to the Scope 1 and Scope 2 inventory exclusions noted above.",unsustainable
"They can help to address societal challenges in areas as diverse as waste management, transport, housing and care for the elderly.",unsustainable
"Scope 3 :all other indirect emissions, both upstream and downstream in the value chain.",unsustainable
"Our goal is zero incidents – this means zero health, safety or environmental issues.",sustainable
Fines are calculated using the following criteria: each repair completed beyond the TMAX will be sanctioned; repairs completed within the TMAX but exceeding the TMRA will be sanctioned only if TMR > TMRA.,unsustainable
"Principally, these included (i) meaningful exposure to energy transition risks, with an oil-heavy production mix and no clear path to lower carbon activities; (ii) a weak record on safety, with elevated worker fatality rates; and (iii) evidence of corruption reaching up to executive level.",unsustainable
We will procure 100% renewable electricity at the offices we operate across the globe by 2020.,sustainable
"We also want to reduce business travel, which will require substantial investments in technology such as virtual collaboration tools to enable us to continue delivering results that our clients expect.",sustainable
Daiwa Securities Group proactively promotes talented employees regardless of gender and endorsed the declaration of the Cabinet Office Gender Equality Bureau’s Male Leaders Coalition for Empowerment of Women in 2015.,sustainable
"Since 2016, we reduced our involvement in financing of coal mining companies, comfortably exceeding our 2016 goal of 20 percent.",sustainable
We generate performance reports using information from these site audits along with incidents and hazards information captured in Crystal.,unsustainable
"As an active investor, we look for innovative ways to reallocate capital towards a low-carbon economy.",sustainable
Our institutional retirement business has committed to reduce portfolio carbon emission intensity by 18.5%1 by 2025.,sustainable
"We undertake extensive carbon analysis across our property portfolio annually, and have been actively working to manage and reduce our carbon emissions over the last 10 years.",sustainable
"Specifically, food loss refers to food that is spilled, spoiled or otherwise lost, or incurs a reduction of quality and value during its process in the food supply chain before it reaches its final product stage.",unsustainable
"We predominantly use water for cooling purposes (87%), after which we recirculate it back to our supply sources.",sustainable
"Scope 3 emissions are indirect consequence of activities which occur from sources not owned or controlled by ARA, such as employee commuting, business travel and purchase of ofﬁce supplies.",unsustainable
We are also promoting the use of stainless-steel bottles to reduce the use of plastic within the company.,sustainable
Fishing generates waste that is an ideal plant fertilizer.,unsustainable
"In 2020, over 1,000 seats and 700 desks were reused as part of new developments at the Liberté 2 site in Charenton-le-Pont.",sustainable
Reducing our direct climate impact: We have committed to using 100% renewable electricity by mid-2020.,sustainable
"Most notably, 2020 saw the installation of electric vehicle recharging stations, enabling shoppers to use sustainable transportation methods to get to Heron Parc.",sustainable
Our ambitions are to achieve a CDP rating in 2020 and to reduce our scope 1 and scope 2 as well as our scope 3 emissions on which we have an influence such as business travel.,sustainable
Water scarcity and a growing demand for water will force a shift from conventional water sources (e.g. ground and surface wa‐ ter) to desalination and water reuse combined with an efﬁcient use of water.,unsustainable
Our Events team has been working with Ecobooth to develop a range of reusable exhibition stands that are made purely from repurposed plastic reclaimed from the oceans.,sustainable
"In 2020, we continued to make progress against our 2025 goal of an 80 percent recycling rate by reusing, recycling, and composting whenever possible.",sustainable
"The overall increase in water intake in 2020 was primarily due to improved reporting of industrial and civil water consumption, including reuse, equal to 515,000 m3 in 2020, for Companies in the water sector and in particular for Acea Ato 5, Gori and Gesesa.",unsustainable
The carbon footprint of transportation to and from work also contributes to the overall emissions we generate as a firm.,unsustainable
The volume of reused water is thus greater than the total volume of consumed water.,unsustainable
"In 2020, in order to effectively manage the critical issues related to the pandemic and continue to invest in the professional development of individuals, Acea adopted an innovative, digital approach which ensured greater flexibility and optimization in Assessment centre and coaching processes.",sustainable
"Scope 1 emissions are our direct emissions from the combustion of fuel, fugitive emissions and company-owned vehicles.",unsustainable
"This file describes the environmental risks, the energy performance (mandatory diagnostic), the building’s GHG emissions and its position with respect to new environmental regulations (green leases, certification, labels), and public health (asbestos, lead, termites, soil pollution, etc.).",unsustainable
We also are collaborating with our customers to produce products that contribute to a lower carbon footprint.,sustainable
"Lastly, through innovative partnerships with major public investors, Amundi is developing solutions to finance the energy transition.",sustainable
"The project’s long-term goal is to make plastics recyclable that cannot yet be recycled, such as mixed plastics or plastics with residues.",sustainable
"For the calculation of Scope 2 emissions using the market-based method, the residual mix coefficients are the following for 2018, 2019 and 2020, respectively: 0.476 t/MWh, 0.487 t/MWh and 0.466 (Source: AIB document “European Residual Mixes 2019”).",unsustainable
"The Net-Zero Asset Owner Alliance provides a unique framework for investors to design, implement and report on their decarbonization strategy.",unsustainable
"Internally, our newly redesigned professional development programs for women and ethnically diverse employees are investments in our own talent.",sustainable
"In 2018, we helped around 1 000 companies achieve ISO 50001 certification, avoiding more than 8 million tons of CO2 emissions, which equates to an estimated value to society of CHF 608 million.",sustainable
"The scheme asks organisations to pay the real Living Wage and also commit to provide workers with at least four weeks’ notice of shifts, a contract that accurately reflects hours worked, and a contract with a guaranteed minimum of 16 hours a week, unless the worker requests otherwise.",sustainable
"This means that we have a long-term strategic objective to reduce the greenhouse gas emissions impact of our investments, increase our investments based on climate-related opportunities, and ensure that our investment portfolios are resilient to climate-related risks.",sustainable
SuMi TRUST Bank is a signatory to the Equator Principles.,sustainable
The guidelines we require our lending professionals to follow are consistent with the Equator Principles.,sustainable
Exposure to coal mining groups is negligible since the bank has tightly managed and reduced its exposures in recent years.,unsustainable
"KBC Group Human Rights Policy Since 2006, KBC Group has been committed to the UN Global Compact corporate responsibility initiative and its principles in the areas of human rights, labour, the environment and anti-corruption.",sustainable
"Where possible, we try to produce our own renewable electricity for the buildings we occupy.",sustainable
The company makes a positive contribution to reducing CO2 emissions and energy consumption by extending product lifespans.,sustainable
The Company adopted the Biosafety Trust model and achieved new certification in order to promote good practices that help to reduce the risk of epidemics in the workplace to a minimum.,sustainable
"The system enables optimization of network management, supporting repair works and reducing their frequency.",sustainable
"We want our products to be safely loaded, transported, handled and stored.",sustainable
Ongoing monitoring will be performed to enhance SCOR’s deforestation risk assessment.,sustainable
"It is a major global health crisis, brought on by a climate and biodiversity crisis.",unsustainable
"At the end of 2019, we had reduced our GHG emissions by 71% compared to baseline year 2004.",sustainable
This makes the transition to a low-carbon economy vital.,unsustainable
"Gender diversity of the Governance Body and the Committees is an important element, in tempering “single-mindedness” as well as for the different ways in which men and women exercise their leadership.",unsustainable
We will measure and reduce embodied carbon.,sustainable
"By offering a range of employee transportation benefits, we reduce our overall climate impacts, attract and retain talent, and improve employee well-being.",sustainable
Costs for maintenance and repair as part of normal business operations are recognized as an expense.,unsustainable
"On a global average basis, fruit consumption needs to rise by 146%, whereas the intake of vegetables and nuts and seeds needs to rise by 44% and 462%, respectively.",unsustainable
"We matched our Scope 2 electricity usage, excluding steam, by purchasing renewable energy products and certificates, depending on the location.",sustainable
"We calculate our emissions for Scope 1 and 2 emissions as 31.6 tCO2e (market-based); as at 31 March 2021, these equated to a GHG emissions intensity of 0.2 tCO2e/ Full Time Employee (full details are below).",unsustainable
Data for water reused or recycled are sourced from meter readings for the systems in place.,unsustainable
"Achieving this will require big changes to manufacturing industries, transport, agriculture, the built environment and much more.",unsustainable
"Our goal is to eliminate all injuries, prevent adverse environmental and health impacts, reduce waste and emissions, and promote resource conservation at every stage of the life cycle of our products.",sustainable
"In more developed areas, we ensured that children had access to nutritious meals by partnering with organizations such as: Feeding America in the United States; Magic Breakfast in London; SOS Villages in Hungary, Italy and Spain; Second Harvest Japan; and St. James’ Settlement People’s Food Bank in Hong Kong.",sustainable
"As always, we only use Forest Stewardship Council (or equivalent) approved, chlorine-free paper products from well-managed forests or recycled sources for our mailings.",sustainable
"The physical dangers stemming from a warming climate, and the implications associated with the transition to a lower-carbon economy, will continue to present significant investment risks and opportunities.",unsustainable
We expect our suppliers to follow our environmental policies and encourage them to reduce the environmental impact of their operations.,sustainable
Our goal is to have zero serious safety incidents by working toward implementing consistent health and safety principles across the organization.,sustainable
"At the same time, impending sustainability risks such as climate change, inequality, and the loss of biodiversity have become even more pronounced.",unsustainable
That’s why we’re implementing a centralized strategy for all of State Street’s data centers to reduce energy use and increase resiliency.,sustainable
"We also support multi-stakeholder initiatives that respect and protect biodiversity, including as a participant in the informal working group to establish a TNFD and in the project to further develop the ENCORE (Exploring Natural Capital Opportunities, Risks and Exposure) tool for financial institutions",sustainable
"As part of the Well Environnement de Travail real estate program, which concerns the management of Natixis’ real estate portfolio, an initiative has been undertaken to reuse and recover unused furniture.",sustainable
Combining both carbon footprint and implicit temperature rise gives an indication of how a company is engaged in its transition to a low carbon economy and how it actually delivers on its own targets.,unsustainable
CO2 emissions avoided through the latter solutions is 6 555 tonnes/year (representing 60 117 634 kilometres/year).,sustainable
"Most studies analyzing the impact of diet shifts tend to ignore (growing) competition for land among humans, animals and crop production.",unsustainable
Gender diversity total is measured as the percentage of female employees in the Netherlands.,unsustainable
Impairments are recognized if the recoverable amount of the asset is lower than the carrying amount.,unsustainable
"While we pursue these shifts in how we source energy, our operational (Scope 1 and 2) emissions intensity per square foot of real estate continues to fall.",sustainable
"This 25% reduction target in five years is in line with the IPCC’s 1.5°C trajectories(1); to reduce the carbon footprint (scopes 1 and 2) of its portfolio of directly held real estate by a further 10% between 2019 and 2024, i.e., a target of 17 kgeqCO2 /m2 by the end of 2024 compared with 19 kgeqCO2 /m2 at the end of 2019.",sustainable
"By 2050, it is aiming for “net zero CO2 emissions”.",sustainable
We support our employees’ professional development through comprehensive training and advancement programs.,sustainable
Climate change extends beyond obvious sectors such as energy and transportation.,unsustainable
"While palm oil demand is rapidly growing owing to its convenience and rising preference for wholesome foods, environmentally destructive developments are the main causes for the devastation of tropical rainforests and the decline in biodiversity.",unsustainable
"When we met with Rio Tinto, the chairman explained that the firm’s business mix made it challenging to set meaningful Scope 3 emissions targets.",unsustainable
"Beyond managing office waste, we prioritize reusing and recycling used furniture and non-technology equipment where possible.",sustainable
"We are also striving to use water and paper responsibly, to minimise the supply chain impact of our business operations and to reduce the amount of waste we generate.",sustainable
We encourage employees and contractors to report near misses and dangerous incidents.,sustainable
"If you are aligned with positive trends it is easier to grow, but it also reduces the risk.",unsustainable
We are working to reduce greenhouse gas emissions from our operations in line with the target of the Paris Climate Agreement.,sustainable
"In some particular funds, LYXOR also excludes companies involved in activities or sectors deemed as controversial (Gaming, Tobacco, Human cloning...) or having the majority of their income from sector with important ESG risk (Coal…).",sustainable
"We are acutely aware of the huge, interconnected threats posed by issues such as climate change, water pollution and deforestation, and are committed to continuously reducing our negative environmental impact while we contribute to positive activities.",sustainable
The Group recognises this decrease was significantly affected by reduced office occupancy related to COVID-19.,unsustainable
"We met our carbon neutral goal by significantly reducing energy use in our offices and data centers, purchasing energy from renewable sources and purchasing carbon offsets to offset emissions we can’t reduce ourselves.",sustainable
"Disclosure about Scope 3 emissions in the energy industry is more nascent and, we believe, needs more time to mature before being mandated as the shareholder proposals outlined.",unsustainable
We have established a strategic target to achieve carbon neutrality in this fund by 2025.,sustainable
The “Net Zero Challenge” encouraged employees to measure their own emissions and commit to actions to reduce them.,sustainable
"The equity portfolio is based on model portfolios that give a particularly strong weighting to the way in which companies contribute to the environmental and energy transition In January 2018, CNP Assurances deployed these model portfolios, which were defined in collaboration with La Banque Postale Asset Management (LBPAM) and Mirova (an affiliate of Natixis Investment Managers), the aim being to lend greater importance to transition risk management by taking into account companies that facilitate the environmental and energy transition.",sustainable
"Relying on an ESG agency specialising in the field of arms (ISS- ESG), SRI research teams at Mirova (Natixis IM) regularly update the exclusion list to include all listed and unlisted companies: involved in the use, development, manufacture, marketing, distribution, storage or transport of anti-personnel mines or cluster munitions; or owning 30% or more of a company involved in the activities mentioned above.",sustainable
Do you classify any of your existing goods and/or services as low-carbon products or do they enable a third party to avoid GHG emissions?,unsustainable
Asset managers should consider providing other carbon footprinting metrics they believe are useful for decision-making.,unsustainable
"As a result, we are able to reduce consumption, better manage assets and invest capital more efficiently, which in turn generates better returns for our shareholders and investors, reduces costs for our customers and partners, and helps our global employees by increasing motivation and productivity to enhance an individual’s livelihood.",sustainable
JRE aims for 35% reduction of CO2 emissions by 2030 (carbon intensity basis).,sustainable
"Weather-related influences can result in positive or negative effects, especially on our crop protection business.",unsustainable
The majority of our business travel-related emissions are Scope 3 emissions from commercially operated air and rail; reimbursed personal vehicle and rental car travel; and hotel stays.,unsustainable
"VGL is a Polish asset‑light, freight forwarding and logistics holding comprising of a number of entities operating in several segments of transport & logistic services.",unsustainable
We have therefore set ambitious targets to reduce the emissions of the cars in our leasing feets and to increase the share of electric and hybrid vehicles.,sustainable
We use the Scope 1 and 2 emissions from companies in our investment portfolio to calculate our total Scope 3 portfolio emission intensity.,unsustainable
We focus on the areas where we have the greatest exposure and influence companies to reduce emissions in line with our net-zero objective.,sustainable
"Fuel, electricity, and steam are included; BNY Mellon does not consume additional sources of heating or cooling.",unsustainable
The car leasing exposure represents the net book value of leased vehicles.,unsustainable
"Under this approach, Prudential accounted for a significant portion of its Scope 1 and Scope 2 GHG emissions from these domestic and international sites.",unsustainable
"The carbon footprint estimate includes scope I, II emissions and scope III emissions to the extent possible (mostly travel-related), as described by the GHG protocol.",unsustainable
"The amount of CO2 emitted from the construction and operation of buildings is said to account for approximately 40% of all CO2 emissions in Japan, including indirect emissions.",unsustainable
"When companies enroll their employees in SGS Academy training courses they benefit from talent development and retention, enhanced service quality, competitiveness and productivity, and reduced employee risks.",sustainable
These CO2 emissions correspond to 55% of the purchases made in 2018.,unsustainable
"While it is important to measure the carbon footprint of our investments as described above, the drawback is that this only looks at current emissions.",unsustainable
"Following the launch of these recommendations in 2017, we have continuously improved and expanded our climate-related disclosures to demonstrate our active engagement for an orderly transition to a low-carbon economy.",sustainable
"Plant- based proteins that score especially high in this regard include potato, canola and soy protein.",unsustainable
"To compensate for emissions, we purchase carbon offsets through clean energy financing and carbon sequestration initiatives.",sustainable
"Studies supporting this view include not only the EAT-Lancet study, but also others such as Rockstrom et al., 2020, “Planet- proofing the global food system;” Searchinger et al, 2018, “Creating a sustainable food future: a menu of solutions to feed nearly ten billion people by 2050;” and Gao & Bryan, 2017, “Finding Pathways to national-scale land-sector sustainability.”",unsustainable
"The challenges associated with the energy transition are at the heart of Amundi’s responsible investment strategy, which continued its commitments to a low carbon economy in 2020.",sustainable
"In 2020, CNP Assurances made biodiversity an integral part of its shareholder engagement policy, by encouraging companies to make and implement ambitious decisions to protect biodiversity and to publish information on the risks associated with biodiversity loss.",sustainable
"We started an engagement campaign to encourage companies with large deforestation exposures (according to Forest500 and Canopy), encouraging 32 companies to make disclosures to CDP Forest.",sustainable
"The Ellen MacArthur Foundation works to inspire a generation to re-think, re-design and build a positive future circular economy.",sustainable
"We are encouraging clients to set net zero goals and short-term, science-based targets to reduce emissions in the transition to net zéro.",sustainable
"In all other regions, solely transportation by truck was assumed.",unsustainable
"According to IEA estimates, CO2 emissions attributable to cement production account for 7% of global emissions, making this the second-largest industrial emitter of CO2.",unsustainable
"The environmental impacts diminished from 11% to 39% thanks to lower fuel consumption, reduced exhaust emissions and the production of lighter vehicles.",sustainable
All the Group’s vehicles are now accredited to meet this requirement.,unsustainable
"Believing in the importance of reflecting employee feedback in various measures to build a better working environment, the Asset Manager regularly conducts employee satisfaction surveys and uses the results to improve the in-house environment.",sustainable
A sustainable global food system benefits human health as well as the global ecosystem.,unsustainable
"Then all packaging waste is recycled or recovered, and contributes to the improvement of the ratio of waste recovery.",sustainable
The Equator Principles are standards that enable private-sector financial institutions approving loans for a large scale project to confirm the project pays sufficient care to impacts on the natural environment and regional communities.,unsustainable
"The company will target 35-45% reduction in Scope 1 and 2 emissions by 2030 and net-zero carbon by 2050, in alignment with the Paris Accord.",sustainable
The share of renewable electricity comes directly from electricity suppliers.,unsustainable
The French Association for Plastic Packaging estimates the market for fruit and vegetable plastic bags in France to have a total size of €100-150 million.,unsustainable
"To track our progress, we conduct an annual review of quantitative diversity dashboard metrics, periodic reviews of qualitative talent engagement survey feedback, and an assessment of individual contributions as part of the performance appraisal process.",sustainable
"As part of our active asset management approach, we seek to ensure that all companies have an environmental policy, measure their carbon footprint, and specifcally are able to evidence initiatives to reduce their climate impact.",sustainable
